,NACC_Illumina_Pritzker960_ProbeAnnotation_Accession,NACC_Illumina_Pritzker960_ProbeAnnotation_Symbol,NACC_Illumina_Pritzker960_ProbeAnnotation_Chromosome,NACC_Illumina_Pritzker960_ProbeAnnotation_Probe_Start,NACC_Illumina_Pritzker960_ProbeAnnotation_Probe.Coordinates,NACC_Illumina_Pritzker960_ProbeAnnotation_SYMBOLREANNOTATED,NACC_Illumina_Pritzker960_ProbeAnnotation_ENTREZREANNOTATED,NACC_Illumina_Pritzker960_ProbeAnnotation_ProbeQuality,NACC_Illumina_Pritzker960_ProbeAnnotation_CodingZone,NACC_Illumina_Pritzker960_ProbeAnnotation_REPEATMASK,NACC_Illumina_Pritzker960_ProbeAnnotation_OVERLAPPINGSNP,NACC_Illumina_Pritzker960_ProbeAnnotation_CONTROLREPORTERGROUPNAME,NACC_Illumina_Pritzker960_ModelLM4_BP_Beta,NACC_Illumina_Pritzker960_ModelLM4_MDD_Beta,NACC_Illumina_Pritzker960_ModelLM4_Schiz_Beta,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_Beta,NACC_Illumina_Pritzker960_ModelLM4_Age_Beta,NACC_Illumina_Pritzker960_ModelLM4_Gender_Beta,NACC_Illumina_Pritzker960_ModelLM4_PMI_Beta,NACC_Illumina_Pritzker960_ModelLM4_BP_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_MDD_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_Schiz_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_Age_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_Gender_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_PMI_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_BP_Tstat,NACC_Illumina_Pritzker960_ModelLM4_MDD_Tstat,NACC_Illumina_Pritzker960_ModelLM4_Schiz_Tstat,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_Tstat,NACC_Illumina_Pritzker960_ModelLM4_Age_Tstat,NACC_Illumina_Pritzker960_ModelLM4_Gender_Tstat,NACC_Illumina_Pritzker960_ModelLM4_PMI_Tstat,NACC_Illumina_Pritzker960_ModelLM4_BP_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_MDD_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_Schiz_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_Age_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_Gender_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_PMI_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_BP_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_MDD_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_Schiz_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_Age_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_Gender_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_PMI_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_BP_FDR,NACC_Illumina_Pritzker960_ModelLM4_MDD_FDR,NACC_Illumina_Pritzker960_ModelLM4_Schiz_FDR,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_FDR,NACC_Illumina_Pritzker960_ModelLM4_Age_FDR,NACC_Illumina_Pritzker960_ModelLM4_Gender_FDR,NACC_Illumina_Pritzker960_ModelLM4_PMI_FDR
ILMN_2055271,NM_130786.2,A1BG,19,3151,63548541-63548590,A1BG,1,Bad,Transcriptomic?,AluSq2_SINE_Alu:32,rs60909809,NA,0.02731755,0.001157063,0.02902888,0.004782559,-0.001028324,0.042856116,-0.001507772,Up,Up,Up,Up,Down,Up,Down,0.761974495,0.031723183,0.825421735,0.059070343,-1.037791134,1.466008545,-0.946064293,0.448136007,0.974765472,0.411389854,0.953031552,0.302243102,0.146251084,0.346736028,0.413646464,0.971458126,0.417132787,0.953873266,0.43513907,0.145889204,0.519960156,0.99916252,0.999998377,0.982741903,0.998682577,0.694589668,0.993911195,0.666656424
ILMN_1653355,NM_001004053.2,A26C3,22,687,14662540-14662589,POTEG,404785,Perfect****,Transcriptomic,NA,NA,NA,-0.021557028,0.023826128,-0.019005883,-0.06239749,-0.000383806,0.038966723,-0.000489223,Down,Up,Down,Down,Down,Up,Down,-0.631812204,0.686394184,-0.56785065,-0.809798132,-0.406997293,1.400612599,-0.32254621,0.52916634,0.494289904,0.571598979,0.420265598,0.685009576,0.164886538,0.747812791,0.501302582,0.439200061,0.576507547,0.42372232,0.763543024,0.165083135,0.825683856,0.99916252,0.999998377,0.990615725,0.990521556,0.897115722,0.993911195,0.905496712
ILMN_1814316,NM_145891.1,A2BP1,16,1303,7666834-7666841:7699059-7699100,RBFOX1,54715,Perfect****,Transcriptomic,NA,NA,NA,-0.01311734,0.089386874,0.032786764,-0.094591414,-0.003216913,0.029332722,0.003371404,Down,Up,Up,Down,Down,Up,Up,-0.135803697,0.909621155,0.346028041,-0.433638703,-1.204997749,0.37242873,0.785168341,0.892290203,0.365535487,0.730157038,0.665624197,0.23147172,0.710479376,0.434487856,0.888897402,0.311278829,0.733698567,0.665964294,0.362424335,0.709485863,0.592100222,0.99916252,0.999998377,0.993251564,0.99799267,0.638675987,0.998854525,0.733738409
ILMN_2359168,NM_145891.1,A2BP1,16,1309,7666840-7666841:7699059-7699106,RBFOX1,54715,Perfect****,Transcriptomic,NA,NA,NA,-0.06299307,0.096671291,-0.003174629,-0.002510552,-0.004042871,0.062770693,0.002437925,Down,Up,Down,Down,Down,Up,Up,-0.635949369,0.959286392,-0.032671545,-0.011223012,-1.476728884,0.777162247,0.553651367,0.526478867,0.340072888,0.974011354,0.991071216,0.143358993,0.439171132,0.581237615,0.497854571,0.285878477,0.973718489,0.991073481,0.263083289,0.438778638,0.704850203,0.99916252,0.999998377,0.999696073,0.999629034,0.544918661,0.998854525,0.824587788
ILMN_1731507,NM_145893.1,A2BP1,16,1312,7683319-7683368,RBFOX1,54715,Perfect,Transcriptomic,NA,NA,NA,0.011047736,0.023152259,-0.021082442,0.003751392,-0.000679725,0.078135932,-0.001632954,Up,Up,Down,Up,Down,Up,Down,0.19208218,0.395665497,-0.373664335,0.028881302,-0.427590506,1.666056029,-0.638666077,0.848125465,0.693320406,0.709563093,0.977025407,0.670005796,0.099299049,0.524717977,0.841238219,0.65071642,0.713738411,0.977587924,0.751513294,0.09635277,0.663512375,0.99916252,0.999998377,0.993251564,0.999017352,0.89143864,0.993911195,0.790761218
ILMN_1787689,NM_018723.2,A2BP1,16,758,6009890-6009939,RBFOX1,54715,Perfect,Transcriptomic,NA,NA,NA,-0.023681634,0.007305658,-0.000812757,-0.053981785,-0.000788667,-0.015617551,-0.002349153,Down,Up,Down,Down,Down,Down,Down,-0.718059409,0.217735414,-0.025122129,-0.724780433,-0.865213447,-0.58074656,-1.602308463,0.474644521,0.828145135,0.980015083,0.470531554,0.38930119,0.562912643,0.112712207,0.442150027,0.802926979,0.9802314,0.472262662,0.515707609,0.558577887,0.276607157,0.99916252,0.999998377,0.999715731,0.990914834,0.754887428,0.998854525,0.407481168
ILMN_3241953,NM_033110.1,A2LD1,13,1037,101183950-101183999,A2LD1,87769,Perfect,Transcriptomic,NA,NA,NA,-0.011277398,-0.041756593,-0.078491536,0.078660156,-0.001684358,-0.007991046,-0.000448711,Down,Down,Down,Up,Down,Down,Down,-0.203631353,-0.741108475,-1.444792548,0.628928163,-1.100401879,-0.176955621,-0.182258925,0.839117138,0.460623397,0.152108309,0.531043985,0.274192475,0.859954558,0.855803546,0.830626006,0.402842694,0.149490461,0.53520803,0.406941997,0.860049038,0.902842694,0.99916252,0.999998377,0.982741903,0.991732048,0.673754392,0.998854525,0.947898844
ILMN_1745607,NM_000014.4,A2M,12,4524,9220383-9220418:9220419-9220432,A2M,2,Perfect,Transcriptomic,NA,rs1130840,NA,-0.001620872,-0.021952143,-0.122721204,0.092532439,0.006965005,-0.129753144,-0.009320165,Down,Down,Down,Up,Up,Down,Down,-0.011478945,-0.152809828,-0.885971816,0.290173589,1.784661923,-1.126928221,-1.484783656,0.99086761,0.8789021,0.378075085,0.77237395,0.077801947,0.262871498,0.141215524,0.991418282,0.861160064,0.38265267,0.771626695,0.176576508,0.261550839,0.312083365,0.99916252,0.999998377,0.982741903,0.998539064,0.440559457,0.993911195,0.452399643
ILMN_2136495,NM_144670.2,A2ML1,12,4889,8920412-8920461,A2ML1,144568,Bad,Transcriptomic,AluSz_SINE_Alu:50,NA,NA,-0.017051692,0.021590503,0.015511214,0.052714066,0.002737054,-0.009138037,0.002333104,Down,Up,Up,Up,Up,Down,Up,-0.487319626,0.606499151,0.451896704,0.667088519,2.830159663,-0.320275973,1.499915112,0.627257511,0.545762725,0.65246803,0.506481069,0.00577669,0.749527089,0.137256708,0.605087733,0.493678645,0.655581948,0.509960923,0.035859321,0.748065282,0.307754195,0.99916252,0.999998377,0.993251564,0.990914834,0.161002674,0.998854525,0.445953074
ILMN_1735045,NM_017436.4,A4GALT,22,1993,43088176-43088225,A4GALT,53947,Perfect,Transcriptomic,NA,NA,NA,0.045915003,-0.007553844,0.08498776,-0.055797194,0.002380678,0.029511234,-0.002551699,Up,Down,Up,Down,Up,Up,Down,1.10046064,-0.177954477,2.076458352,-0.592165056,2.064437487,0.867425696,-1.375737196,0.274167028,0.859172428,0.040801917,0.55527593,0.041954153,0.388095075,0.172434563,0.234196613,0.838556432,0.035935944,0.557696728,0.118151866,0.389548694,0.349436825,0.99916252,0.999998377,0.982741903,0.995193687,0.354963177,0.99572714,0.493419821
