,DLPFC_Illumina_Pritzker960_ProbeAnnotation_Accession,DLPFC_Illumina_Pritzker960_ProbeAnnotation_Symbol,DLPFC_Illumina_Pritzker960_ProbeAnnotation_Chromosome,DLPFC_Illumina_Pritzker960_ProbeAnnotation_Probe_Start,DLPFC_Illumina_Pritzker960_ProbeAnnotation_Probe.Coordinates,DLPFC_Illumina_Pritzker960_ProbeAnnotation_SYMBOLREANNOTATED,DLPFC_Illumina_Pritzker960_ProbeAnnotation_ENTREZREANNOTATED,DLPFC_Illumina_Pritzker960_ProbeAnnotation_ProbeQuality,DLPFC_Illumina_Pritzker960_ProbeAnnotation_CodingZone,DLPFC_Illumina_Pritzker960_ProbeAnnotation_REPEATMASK,DLPFC_Illumina_Pritzker960_ProbeAnnotation_OVERLAPPINGSNP,DLPFC_Illumina_Pritzker960_ProbeAnnotation_CONTROLREPORTERGROUPNAME,DLPFC_Illumina_Pritzker960_ModelLM4_BP_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_Age_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_BP_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_Age_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_BP_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_Age_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_BP_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_Age_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_BP_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_Age_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_BP_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_Age_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_FDR
ILMN_2055271,NM_130786.2,A1BG,19,3151,63548541-63548590,A1BG,1,Bad,Transcriptomic?,AluSq2_SINE_Alu:32,rs60909809,NA,-0.000264075,-0.063562148,-0.002065134,0.124957291,-0.000961072,0.010192764,0.002024342,Down,Down,Down,Up,Down,Up,Up,-0.007666255,-1.826542911,-0.06157959,1.577748948,-0.986196561,0.355386164,1.301387247,0.993901451,0.071320875,0.951043916,0.11838202,0.326868847,0.723191165,0.196684028,0.994371693,0.065138269,0.961202206,0.190837117,0.4684252,0.689805261,0.377771941,0.999500598,0.999200957,0.989431682,0.619756759,0.697719435,0.999935585,0.520597828
ILMN_1653355,NM_001004053.2,A26C3,22,687,14662540-14662589,POTEG,404785,Perfect****,Transcriptomic,NA,NA,NA,-0.00612359,-0.00229703,0.007511499,0.055183662,0.0002868,-0.020610518,-0.000153604,Down,Down,Up,Up,Up,Down,Down,-0.182270058,-0.067678498,0.229650736,0.714396811,0.301744888,-0.736800914,-0.101246104,0.855809957,0.946202402,0.818921463,0.476962438,0.763592328,0.463296348,0.919596379,0.865558516,0.945142771,0.861093392,0.557314923,0.820944805,0.410378597,0.943041537,0.98851692,0.999200957,0.95071282,0.855821561,0.930033256,0.999935585,0.975054055
ILMN_1814316,NM_145891.1,A2BP1,16,1303,7666834-7666841:7699059-7699100,RBFOX1,54715,Perfect****,Transcriptomic,NA,NA,NA,-0.064552607,0.016689097,-0.067574838,0.091472655,0.001062944,0.075966448,0.007940214,Down,Up,Down,Up,Up,Up,Up,-0.90293117,0.231072603,-0.970862694,0.556482971,0.525535817,1.276188046,2.459456192,0.369144443,0.817820305,0.334403983,0.579360246,0.600595338,0.205406389,0.015966231,0.409365502,0.809950846,0.454879742,0.646917564,0.693745075,0.15620427,0.101046865,0.901290207,0.999200957,0.734998611,0.895459608,0.865664173,0.999935585,0.15800818
ILMN_2359168,NM_145891.1,A2BP1,16,1309,7666840-7666841:7699059-7699106,RBFOX1,54715,Perfect****,Transcriptomic,NA,NA,NA,-0.091813529,-0.001142251,-0.05093439,0.045344068,0.001083755,0.042434305,0.010558868,Down,Down,Down,Up,Up,Up,Up,-1.229101113,-0.015136219,-0.700364271,0.264010469,0.512817493,0.682260164,3.130143797,0.222465892,0.987959399,0.485635193,0.792418486,0.609424968,0.496951543,0.002403319,0.258601929,0.987392593,0.589921579,0.828411692,0.701399572,0.446024539,0.040823984,0.859159682,0.999200957,0.822947351,0.956529186,0.868613917,0.999935585,0.058870271
ILMN_1731507,NM_145893.1,A2BP1,16,1312,7683319-7683368,RBFOX1,54715,Perfect,Transcriptomic,NA,NA,NA,0.003448938,-0.001168405,-0.011419073,0.11971704,-0.000842317,0.095696035,0.001571879,Up,Down,Down,Up,Down,Up,Up,0.077287409,-0.025917396,-0.262836769,1.166807049,-0.667190718,2.57554579,0.780025019,0.938578705,0.979384697,0.79331998,0.246590112,0.506479036,0.011758735,0.437568554,0.944467375,0.978049604,0.839818393,0.332858054,0.61967656,0.007091666,0.596938201,0.993765089,0.999200957,0.944500028,0.740698867,0.817241437,0.999935585,0.732938017
ILMN_1787689,NM_018723.2,A2BP1,16,758,6009890-6009939,RBFOX1,54715,Perfect,Transcriptomic,NA,NA,NA,0.003086304,0.030090568,-7.48E-06,-0.023855698,0.000654618,-0.039086151,0.001079999,Up,Up,Down,Down,Up,Down,Up,0.090773501,0.87604325,-0.000225904,-0.305163278,0.680549159,-1.380687239,0.703411759,0.927888676,0.38350484,0.999820291,0.760996677,0.498028393,0.171037905,0.483744351,0.933848636,0.366140107,0.99981239,0.802559003,0.61326029,0.124535665,0.63307193,0.99358639,0.999200957,0.999956525,0.94810819,0.812040919,0.999935585,0.76408316
ILMN_3241953,NM_033110.1,A2LD1,13,1037,101183950-101183999,A2LD1,87769,Perfect,Transcriptomic,NA,NA,NA,0.044680365,-0.009098801,0.048287909,0.000751725,0.002212303,-0.018384289,-0.003108919,Up,Down,Up,Up,Up,Down,Down,1.085392445,-0.218790768,1.204870654,0.007942351,1.899615332,-0.536375487,-1.672420609,0.280853049,0.827343756,0.231636849,0.99368182,0.060915361,0.593116739,0.098162346,0.321676485,0.819631534,0.354658362,0.993771341,0.176128475,0.549998124,0.256763348,0.872906304,0.999200957,0.653126711,0.999431402,0.345796314,0.999935585,0.382293739
ILMN_1745607,NM_000014.4,A2M,12,4524,9220383-9220418:9220419-9220432,A2M,2,Perfect,Transcriptomic,NA,rs1130840,NA,-0.290026641,-0.183949697,-0.176570911,0.508607154,0.001249172,-0.075862966,-0.006533644,Down,Down,Down,Up,Up,Down,Down,-2.321982822,-1.457789878,-1.452018696,1.771019359,0.353503953,-0.729462412,-1.158357371,0.022654737,0.148627127,0.150221387,0.080184841,0.724596342,0.467748076,0.250000962,0.031218341,0.141383063,0.265468463,0.141833327,0.792540618,0.414393456,0.430790589,0.716884082,0.999200957,0.565872818,0.56491919,0.914220405,0.999935585,0.580330601
ILMN_1680754,NM_016161.1,A4GNT,3,1053,139325896-139325945,A4GNT,51146,Perfect,Transcriptomic,NA,rs76043052,NA,0.037920449,-0.018022384,0.06898292,0.153283839,0.001261334,0.022372511,-0.00036164,Up,Down,Up,Up,Up,Up,Down,1.204484725,-0.566649871,2.250615642,2.117599978,1.416148133,0.853482334,-0.254372462,0.231785098,0.572463083,0.027022398,0.037165313,0.160429687,0.395819153,0.799829496,0.269108101,0.557840231,0.092679449,0.083561592,0.303028029,0.33773592,0.860755694,0.860620939,0.999200957,0.291568394,0.444535937,0.529339303,0.999935585,0.929171977
ILMN_1659452,NM_207290.1,AAA1,7,216,34734887-34734936,AAA1,404744,Bad,Transcriptomic,LTR84b_LTR_ERVL:50,rs35354632,NA,-0.055030005,-0.041621932,-0.035012119,0.106349886,0.000756475,-0.017533065,-0.002074765,Down,Down,Down,Up,Up,Down,Down,-1.737939287,-1.301163977,-1.135756912,1.46080353,0.844462755,-0.665035599,-1.451008313,0.085886129,0.196760079,0.259288448,0.147799864,0.40080956,0.507849535,0.150501861,0.10720048,0.188923493,0.381223969,0.225057221,0.533300814,0.457881505,0.324603204,0.801172983,0.999200957,0.680003,0.656692161,0.751527864,0.999935585,0.463606728
